density chem.potencial pressure energy gibbs
318.0646969 8669.1604685 27548174.5408218 28927799.2640759 177561.2771889
321.3798220 8699.1633634 28120583.4338224 29519404.7617468 179351.6090579
324.7178959 8729.1662384 28702884.6390896 30121102.2135487 181154.1266852
328.0789977 8759.1690938 29295214.6632066 30733029.5053647 182968.8720909
331.4632066 8789.1719296 29897711.4228735 31355325.9379426 184795.8872952
334.8706016 8819.1747462 30510514.2545996 31988132.2365876 186635.2143182
338.3012619 8849.1775436 31133763.9244295 32631590.5608883 188486.8951800
341.7552666 8879.1803222 31767602.6377034 33285844.5144768 190350.9719007
345.2326949 8909.1830820 32412174.0488488 33951039.1548205 192227.4865004
348.7336259 8939.1858234 33067623.2712070 34627321.0030487 194116.4809991
352.2581388 8969.1885464 33734096.8868922 35314838.0538114 196017.9974171
355.8063126 8999.1912512 34411742.9566836 36013739.7851722 197932.0777743
